N,Departamento,Provincia,Municipio,Localidad,Observaciones
1,Beni,Marban,San Andrés,SAN ANDRES,
2,Beni,Marban,Loreto,LORETO,
3,Beni,Itenez,Magdalena,BELLA VISTA,Localidad con Fibra óptica hasta finales de 2020
4,Beni,ltenez,Baures,BAURES,Localidad con Fibra óptica hasta finales de 2020
5,Beni,ltenez,Huacaraje,HUACARAJE,Localidad con Fibra óptica hasta finales de 2020
6,Beni,Yacuma,Exaltacidn,EXALTACION,Localidad con Fibra óptica hasta finales de 2020
7,Beni,Mamore,Puerto Siles,PUERTO SILES,Localidad con Fibra óptica hasta finales de 2020
8,Chuquisaca,Tomina,Tomina,TOMINA,
9,Chuquisaca,Oropeza,Yotala,YOTALA,
10,Chuquisaca,Sud Cinti,Villa Abecia,VILLA ABECIA,
11,Chuquisaca,Yamparaez,Yamparaez,YAMPARAEZ,
12,Chuquisaca,Sud Cinti,Las Carreras,LAS CARRERAS,
13,Chuquisaca,Belisario Boeto,Villa Serrano,VILLA SERRANO,
14,Chuquisaca,Zudañez,Presto,PRESTO,
15,Chuquisaca,Sud Cinti,Culpina,CULPINA,
16,Chuquisaca,Nor Cinti,San Lucas,SAN LUCAS,
17,Chuquisaca,Tomina,Sopachuy,SOPACHUY,
18,Chuquisaca,Tomina,Villa Alcalâ,ALCALA,
19,Chuquisaca,Nor Cinti,Incahuasi,INCAHUASI,
20,Chuquisaca,Nor Cinti,Villa Charcas,VILLA CHARCAS,
21,Chuquisaca,Azurduy,Azurduy,AZURDUY,
22,Chuquisaca,Tomina,El Villar,EL VILLAR,
23,Chuquisaca,Azurduy,Tarvita,TARVITA,
24,Chuquisaca,Oropeza,Poroma,POROMA,
25,Chuquisaca,Zudañez,IcIa,ICLA,
26,Cochabamba,Punata,Punata,PUNATA,
27,Cochabamba,Quillacollo,Sipe Sipe,SIPE SIPE,
28,Cochabamba,German Jordan,Cliza,CLIZA,
29,Cochabamba,Campero,Aiquile,AIQUILE,
30,Cochabamba,Esteban Arce,Arbieto,ARBIETO,
31,Cochabamba,Punata,San Benito,SAN BENITO,
32,Cochabamba,Esteban Arce,Tarata,TARATA,
33,Cochabamba,Arani,Arani,ARANI,
34,Cochabamba,Mizque,Mizque,MIZQUE,
35,Cochabamba,Tiraque,Tiraque,TIRAQUE,
36,Cochabamba,Carrasco,Totora,TOTORA,
37,Cochabamba,Punata,Villa Rivero,VILLA RIVERO,
38,Cochabamba,German Jordan,Toko,TOKO,
39,Cochabamba,Punata,Tacachi,TACACHI,
40,Cochabamba,Arani,Vacas,VACAS,
41,Cochabamba,Punata,Cuchumuela,CUCHUMELA,
42,Cochabamba,Carrasco,Pojo,POJO,
43,Cochabamba,Capinota,Capinota,CAPINOTA,
44,Cochabamba,Esteban Arce,Anzaldo,ANZALDO,
45,Cochabamba,Carrasco,Pocona,POCONA,
46,Cochabamba,Mizque,Alalay,ALALAY,
47,Cochabamba,Capinota,Capinota,IRPA IRPA,
48,Cochabamba,German Jordan,Tolata,TOLATA,Localidad con Fibra óptica hasta finales de 2020
49,Cochabamba,Capinota,Sicaya,SICAYA,
50,Cochabamba,Mizque,Vila Vila,VILA VILA,
51,Cochabamba,Esteban Arce,Sacabamba,SACABAMBA,
52,Cochabamba,Arque,Tacopaya,TACOPAYA,
53,Cochabamba,Bollvar,Bolfvar,BOLIVAR,
54,Cochabamba,Arque,Arque,ARQUE,
55,LaPaz,Larecaja,Tipuani,TIPUANI,Localidad con Fibra óptica hasta finales de 2020
56,LaPaz,Omasuyos,Achacachi,ACHACACHI,
57,LaPaz,Manco Kapac,Copacabana,COPACABANA,
58,LaPaz,Manco Kapac,Tito Yupanqui,TITO YUPANQUI,
59,LaPaz,Aroma,Sica Sica,SICA SICA,
60,LaPaz,Aroma,Colquencha,COLQUENCHA,
61,LaPaz,Larecaja,Sorata,SORATA,
62,LaPaz,Los Andes,Batallas,BATALLAS,
63,LaPaz,Aroma,Collana,COLLANA,
64,LaPaz,Omasuyos,Huarina,HUARINA,
65,LaPaz,Aroma,Calamarca,CALAMARCA,
66,LaPaz,Camacho,Puerto Acosta,PUERTO ACOSTA,
67,LaPaz,Los Andes,Pucarani,PUCARANI,
68,LaPaz,Camacho,Escoma,ESCOMA,
69,LaPaz,Omasuyos,Chua Cocani,CHUA COCANI,
70,LaPaz,Los Andes,Laja,LAJA,
71,LaPaz,Ingavi,Guaqui,GUAQUI,
72,LaPaz,Aroma,Ayo Ayo,AYO AYO,
73,LaPaz,Manco Kapac,San Pedro de Tiquina,SAN PEDRO DE TIQUINA,
74,LaPaz,Omasuyos,Ancoraimes,ANCORAIMES,
75,LaPaz,Los Andes,Puerto Pérez,PUERTO PEREZ,
76,LaPaz,Camacho,Pto. Carabuco,PUERTO CARABUCO,
77,LaPaz,Omasuyos,Huatajata,HUATAJATA,
78,LaPaz,Omasuyos,Santiago de Huata,SANTIAGO DE HUATA,
79,LaPaz,Aroma,Umala,UMALA,
80,LaPaz,Pacajes,Callapa,CENTRO POBLADO SANTIAGO DE CALLAPA,
81,LaPaz,Aroma,Sica Sica,LAHUACHACA,
82,LaPaz,Abel Iturralde,Ixiamas,IXIAMAS,Localidad con Fibra óptica hasta finales de 2020
83,LaPaz,Bautista Saavedra,Charazani,AMARETE,
84,LaPaz,Inquisivi,Quime,QUIME,
85,LaPaz,Abel Iturralde,San Buenaventura,SAN BUENAVENTURA,
86,LaPaz,Nor Yungas,Coroico,COROICO,
87,LaPaz,Sud Yungas,La Asunta,LA ASUNTA,
88,LaPaz,Aroma,Sica Sica,CALA CALA,
89,LaPaz,Sud Yungas,Chulumani,CHULUMANI,
90,LaPaz,Pacajes,Waldo Ballivian,TUMARAPI,
91,LaPaz,Sud Yungas,Irupana,IRUPANA,
92,LaPaz,Pacajes,Coro Coro,CORO CORO,
93,LaPaz,Inquisivi,Villa Libertad Licoma,VILLA LIBERTAD LICOMA,
94,LaPaz,Loayza,Malla,MALLA,
95,LaPaz,Inquisivi,Ichoca,ICHOCA,
96,LaPaz,Nor Yungas,Coripata,CORIPATA,
97,LaPaz,Inquisivi,Cajuata,CAJUATA,
98,LaPaz,Pacajes,Charaña,CHARANA,
99,LaPaz,Bautista Saavedra,Curva,CURVA,
100,LaPaz,Murillo,Mecapaca,MECAPACA,
101,LaPaz,Franz Tamayo,Pelechuco,PELECHUCO,
102,LaPaz,Larecaja,Combaya,COMBAYA,
103,LaPaz,Murillo,Palca,PALCA,
104,LaPaz,Larecaja,Tacacoma,TACACOMA,
105,LaPaz,Bautista Saavedra,Charazani,CHARAZANI,
106,LaPaz,Loayza,Luribay,LURIBAY,
107,LaPaz,Loayza,Yaco,YACO,
108,LaPaz,Loayza,Cairoma,CAIROMA,
109,LaPaz,Inquisivi,Inquisivi,lNQUlSlVl,
110,LaPaz,José Manuel Pando,Catacora,CATACORA,
111,LaPaz,Camacho,Mocomoco,MOCOMOCO,
112,LaPaz,Pacajes,Caquiaviri,CAQUIAVIRI,
113,LaPaz,Pacajes,Comanche,COMANCHE,
114,LaPaz,Gualberto Villarroel,San Pedro Cuarahuara,SAN PEDRO DE CURAHUARA,
115,LaPaz,Camacho,Humanata,HUMANATA,
116,LaPaz,Pacajes,Nazacara de Pacajes,NAZACARA,
117,LaPaz,Larecaja,Quiabaya,QUIABAYA,
118,LaPaz,Pacajes,Calacoto,CALACOTO,
119,LaPaz,Sud Yungas,Yanacachi,YANACACHI,
120,LaPaz,lngavi,San Andrés de Machaca,"SAN ANDRES DE
MACHACA",
121,LaPaz,Ingavi,Taraco,TARACO,
122,LaPaz,Gualberto Villarroel,Papel Pampa,PAPEL PAMPA,
123,LaPaz,Gualberto Villarroel,Chacarilla,CHACARILLA,
124,LaPaz,José Manuel Pando,Santiago de Machaca,SANTIAGO DE MACHACA,
125,Oruro,Sebastian Pagador,Huari,SANTIAGO DE HUARI,
126,Oruro,Tomas Barron,Eucaliptus,EUCALIPTUS,
127,Oruro,Ladislao Cabrera,Pampa Aullagas,PAMPA AULLAGAS,
128,Oruro,Abaroa,Quillacas,SANTUARIO DE QUILLACAS,
129,Oruro,Cercado,Soracachi,SORACACHI,
130,Oruro,Poopo,Antequera,ANTEQUERA,
131,Oruro,Litoral,Escara,ESCARA,
132,Oruro,Saucari,Toledo,TOLEDO,
133,Oruro,Litoral,Huachacalla,HUACHACALLA,
134,Oruro,Carangas,Corque,CORQUE,
135,Oruro,Sabaya,Chipaya,CHIPAYA,
136,Oruro,Sabaya,Coipasa,COIPASA,
137,Oruro,Sur Carangas,Belén de Andamarca,BELEN DE ANDAMARCA,
138,Oruro,Sajama,Turco,TURCO,
139,Oruro,Sabaya,Sabaya,SABAYA,
140,Oruro,Sur Carangas,Santiago de Andamarca,SANTIAGO DE ANDAMARCA,
141,Oruro,Nor Carangas,Huayllamarca,HUAYLLAMARCA,
142,Oruro,Litoral,Cruz de Machacamarca,CRUZ DE MACHACAMARCA,
143,Oruro,San Pedro de Totora,San Pedro de Totora,TOTORA,
144,Oruro,Litoral,Esmeralda,ESMERALDA,Localidad con Fibra óptica hasta finales de 2020
145,Oruro,Mejillones,Todos Santos,TODOS SANTOS,
146,Oruro,Carangas,Choque Cota,CHOQUECOTA,
147,Oruro,Mejillones,La Rivera,LA RIVERA,
148,Oruro,Cercado,El Choro,EL CHORO,
149,Oruro,Mejillones,Carangas,CARANGAS,
150,Oruro,Litoral,Yunguyo de Litoral,YUNGUYO DEL LITORAL,
151,Pando,Madre de Dios,Puerto Gonzales Moreno,PUERTO GONZALO MORENO,
152,Pando,Madre de Dios,San Lorenzo,(SAN LORENZO)  BLANCA FLOR,
153,Pando,Federico Roman,Villa Nueva - Lorna Alta,LOMA ALTA,
154,Pando,Federico Roman,Santos Mercado,VILLA VICTORIA,
155,Pando,Abuna,Santa Rosa,SANTA ROSA,
156,Potosi,Antonio Quijarro,Uyuni,UYUNI,
157,Potosi,Rafael Bustillo,Chayanta,CHAYANTA,
158,Potosi,Sur Chichas,Atocha,ATOCHA,
159,Potosi,Rafael Bustillo,Chuquihuta,CHUQUIHUTA,
160,Potosi,José Maria Linares,Puna,PUNA,
161,Potosi,Antonio Quijarro,Porco,PORCO,
162,Potosi,Chayanta,Colquechaca,COLQUECHACA,
163,Potosi,Antonio Quijarro,Porco,AGUA CASTILLA,
164,Potosi,Alonso de Ibañez,Villa desacaca,SACACA,
165,Potosi,Sur Chichas,Atocha,SANTA BARBARA,
166,Potosi,Chayanta,Ravelo,RAVELO,
167,Potosi,Chayanta,Ocuri,OCURI,
168,Potosi,Chayanta,Pocoata,POCOATA,
169,Potosi,José Maria Linares,Caiza D,CAIZA D,
170,Potosi,Charcas,Toro Toro,TORO TORO,
171,Potosi,Charcas,S.P. De Buena Vista,"SAN PEDRO DE BUENA
VISTA",
172,Potosi,Bernardino Bilbao Rioia,Acasio,AGASIO,
173,Potosi,Tomas Frias,Urmiri,URMIRI,
174,Potosi,Cornelio Saavedra,Chaqui,CHAQUI,
175,Potosi,Antonio Quijarro,Tomave,TOMAVE,
176,Potosi,Bernardino Bilbao Rioja,Arampampa,ARAMPAMPA,
177,Potosi,Tomas Frias,Tinguipaya,TINGUIPAYA,
178,Potosi,Alonso de Ibañez,Caripuyo,CARIPUYO,
179,Potosi,Nor Chichas,Vitichi,VITICHI,
180,Potosi,José Maria Linares,Ckochas,CKOCHAS,
181,LaPaz,Larecaja,Guanay,GUANAY,Localidad con Fibra óptica hasta finales de 2020
182,Santa Cruz,Obispo Santiestevan,Mineros,MINEROS,
183,Santa Cruz,Vallegrande,Vallegrande,VALLEGRANDE,
184,Santa Cruz,Ichilo,San Juan de Yapacani,SAN JUAN DE YAPACANI,
185,Santa Cruz,Obispo Santiestevan,Fernandez Alonso,FERNANDEZ ALONZO,
186,Santa Cruz,Obispo Santiestevan,Gral. Saavedra,GENERAL SAAVEDRA,
187,Santa Cruz,Obispo Santiestevan,San Pedro,SAN PEDRO,
188,Santa Cruz,Cordillera,Boyuibe,BOYUIBE,
189,Santa Cruz,Florida,Pampa Grande,PAMPA GRANDE,
190,Santa Cruz,Vallegrande,Trigal,TRIGAL,
191,Santa Cruz,Nuflo de Châvez,San Javier,SAN JAVIER,
192,Santa Cruz,Guarayos,Urubichâ,URUBICHA,
193,Santa Cruz,Cordillera,Lagunillas,LAGUNILLAS,
194,Santa Cruz,Velasco,San lgnacio de Velasco,SAN IGNACIO,
195,Santa Cruz,Nuflo de Châvez,Concepcidn,CONCEPCION,
196,Santa Cruz,Ichilo,San Carlos,SANTA FE DE YAPACANI,
197,Santa Cruz,Angel Sandoval,San Matlas,SAN MATIAS,Localidad con Fibra óptica hasta finales de 2020
198,Santa Cruz,Sara,Santa Rosa del Sara,SANTA ROSA DEL SARA,
199,Santa Cruz,"Manuel Maria
Caballero",Saipina,SAIPINA,
200,Santa Cruz,Florida,Pampa Grande,LOS NEGROS,
201,Santa Cruz,Velasco,San Miguel de Velasco,SAN MIGUEL,
202,Santa Cruz,Obispo Santiestevan,San Pedro,HARDEMAN,
203,Santa Cruz,Andrés Ibañez,El Torno,LIMONCITO,
204,Santa Cruz,Warnes,Warnes,LAS BARRERAS,
205,Santa Cruz,Andrés Ibaf\ez,Cotoca,PUERTO PAILAS,
206,Santa Cruz,Velasco,San Rafael,SAN RAFAEL,
207,Santa Cruz,Obispo Santiestevan,Fernandez Alonso,CHANE INDEPENDENCIA,
208,Santa Cruz,Guarayos,Urubichâ,YAGUARU,
209,Santa Cruz,Andrés Ibañez,La Guardia,SAN JOSE,
210,Santa Cruz,Andrés Ibañez,La Guardia,PEDRO LORENZO,
211,Santa Cruz,Guarayos,El Puente,YOTAU,
212,Santa Cruz,Andrés Ibañez,Cotoca,CAMPANERO,
213,Santa Cruz,Florida,Quirusillas,QUIRUSILLAS,Localidad con Fibra óptica hasta finales de 2020
214,Santa Cruz,Andrés Ibañez,Porongo,PORONGO,
215,Santa Cruz,Vallegrande,Postrer Valle,POSTRERVALLE,Localidad con Fibra óptica hasta finales de 2020
216,Santa Cruz,Vallegrande,Pucara,PUCARA,Localidad con Fibra óptica hasta finales de 2020
217,Santa Cruz,Vallegrande,Moro Moro,MORO MORO,Localidad con Fibra óptica hasta finales de 2020
218,Tarija,Aviles,Yuncharâ,YUNCHARA,
